id,doc_type,title,date,url,first_seen,last_seen
circular:introduction-of-retirement-income-schemes-ris-and-drawdown-options-under-the-national-pension-system-nps-?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,circular,Introduction of Retirement Income Schemes (RIS) and Drawdown options under the National Pension System (NPS),2026-05-15,https://www.pfrda.org.in/w/introduction-of-retirement-income-schemes-ris-and-drawdown-options-under-the-national-pension-system-nps-?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,2026-06-18T08:29:04.837022+00:00,2026-06-18T08:32:20.393388+00:00
circular:clarification-on-permissibility-and-procedure-for-surrender-of-annuity-policies-in-certain-cases,circular,Clarification on permissibility and procedure for surrender of annuity policies in certain cases,2026-05-14,https://www.pfrda.org.in/w/clarification-on-permissibility-and-procedure-for-surrender-of-annuity-policies-in-certain-cases,2026-06-18T10:13:34.730699+00:00,2026-07-17T05:27:00.495312+00:00
circular:clarification-on-permissibility-and-procedure-for-surrender-of-annuity-policies-in-certain-cases?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,circular,Clarification on permissibility and procedure for surrender of annuity policies in certain cases,2026-05-14,https://www.pfrda.org.in/w/clarification-on-permissibility-and-procedure-for-surrender-of-annuity-policies-in-certain-cases?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,2026-06-18T08:29:04.838679+00:00,2026-06-18T08:32:20.394404+00:00
circular:inclusion-of-rupee-bonds-issued-by-new-development-bank-in-the-eligible-investment-universe-under-nps,circular,Inclusion of Rupee Bonds issued by New Development Bank in the eligible investment universe under NPS,2026-05-13,https://www.pfrda.org.in/w/inclusion-of-rupee-bonds-issued-by-new-development-bank-in-the-eligible-investment-universe-under-nps,2026-06-18T10:13:34.731813+00:00,2026-07-17T05:27:00.496260+00:00
circular:inclusion-of-rupee-bonds-issued-by-new-development-bank-in-the-eligible-investment-universe-under-nps?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,circular,Inclusion of Rupee Bonds issued by New Development Bank in the eligible investment universe under NPS,2026-05-13,https://www.pfrda.org.in/w/inclusion-of-rupee-bonds-issued-by-new-development-bank-in-the-eligible-investment-universe-under-nps?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,2026-06-18T08:29:04.840020+00:00,2026-06-18T08:32:20.395922+00:00
circular:circular-clarification-on-engagement-of-pension-agents-under-the-pfrda-point-of-presence-regulations-2018-and-amendments-thereof,circular,Clarification on engagement of Pension Agents under the PFRDA (Point of Presence) Regulations 2018 and amendments thereof,2026-05-12,https://www.pfrda.org.in/w/circular-clarification-on-engagement-of-pension-agents-under-the-pfrda-point-of-presence-regulations-2018-and-amendments-thereof,2026-07-08T04:54:13.646190+00:00,2026-07-17T05:27:00.498467+00:00
circular:extension-of-incentive-framework-to-grass-root-pension-agents-for-enrollments-facilitated-under-nps-sanchay,circular,Extension of incentive framework to grass-root Pension Agents for enrollments facilitated under NPS Sanchay,2026-05-12,https://www.pfrda.org.in/w/extension-of-incentive-framework-to-grass-root-pension-agents-for-enrollments-facilitated-under-nps-sanchay,2026-06-18T10:13:34.733065+00:00,2026-07-17T05:27:00.497237+00:00
circular:extension-of-incentive-framework-to-grass-root-pension-agents-for-enrollments-facilitated-under-nps-sanchay?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,circular,Extension of incentive framework to grass-root Pension Agents for enrollments facilitated under NPS Sanchay,2026-05-12,https://www.pfrda.org.in/w/extension-of-incentive-framework-to-grass-root-pension-agents-for-enrollments-facilitated-under-nps-sanchay?p_l_back_url=%2Fregulatory-framework%2Fcirculars%2Factive-circulars&p_l_back_url_title=Active,2026-06-18T08:29:04.841197+00:00,2026-06-18T08:32:20.396992+00:00
circular:introduction-of-nps-sanchay-simplified-nps-variant-under-all-citizen-model-and-msf-framework-for-informal-sector,circular,Introduction of ‘NPS Sanchay’ (simplified NPS Variant) under All Citizen Model and MSF Framework for Informal Sector,2026-05-06,https://www.pfrda.org.in/w/introduction-of-nps-sanchay-simplified-nps-variant-under-all-citizen-model-and-msf-framework-for-informal-sector,2026-07-08T04:54:13.647967+00:00,2026-07-17T05:27:00.499426+00:00
circular:applicability-of-sebi-regulations-relating-to-insider-trading-self-dealing-and-front-running-to-nps-investments-supersession-of-pfrda-circular-dated-25-july-2019,circular,"Applicability of SEBI Regulations relating to Insider Trading, Self-Dealing and Front Running to NPS investments – Supersession of PFRDA Circular dated 25 July 2019",2026-05-05,https://www.pfrda.org.in/w/applicability-of-sebi-regulations-relating-to-insider-trading-self-dealing-and-front-running-to-nps-investments-supersession-of-pfrda-circular-dated-25-july-2019,2026-07-08T04:54:13.649253+00:00,2026-07-17T05:27:00.500402+00:00
circular:clarification-on-charge-structure-of-cras-under-the-pension-schemes-regulated-or-administered-by-the-pfrda,circular,Clarification on Charge Structure of CRAs under the pension schemes regulated / administered by the PFRDA,2026-04-29,https://www.pfrda.org.in/w/clarification-on-charge-structure-of-cras-under-the-pension-schemes-regulated-or-administered-by-the-pfrda,2026-07-08T04:54:13.650792+00:00,2026-07-17T05:27:00.501397+00:00
circular:atal-pension-yojana-apy-crosses-historic-milestone-gross-enrolments-surpass-9-crore,circular,Atal Pension Yojana (APY) Crosses Historic Milestone: Gross Enrolments Surpass 9 Crore,2026-04-22,https://www.pfrda.org.in/w/atal-pension-yojana-apy-crosses-historic-milestone-gross-enrolments-surpass-9-crore,2026-06-18T08:29:01.552263+00:00,2026-07-17T05:26:58.900983+00:00
circular:financial-intelligence-unit-india-and-pension-fund-regulatory-and-development-authority-sign-mou-to-combat-money-laundering-and-financial-crimes,circular,Financial Intelligence Unit-India and Pension Fund Regulatory and Development Authority Sign MoU to Combat Money Laundering and Financial Crimes,2026-04-18,https://www.pfrda.org.in/w/financial-intelligence-unit-india-and-pension-fund-regulatory-and-development-authority-sign-mou-to-combat-money-laundering-and-financial-crimes,2026-06-18T08:29:01.553623+00:00,2026-07-08T05:36:21.053616+00:00
circular:nps-swasthya-pension-scheme-proof-of-concept-poc-2-under-the-regulatory-sandbox-framework,circular,NPS Swasthya Pension Scheme- Proof of Concept (PoC 2) under the Regulatory Sandbox Framework,2026-04-07,https://www.pfrda.org.in/w/nps-swasthya-pension-scheme-proof-of-concept-poc-2-under-the-regulatory-sandbox-framework,2026-07-08T04:54:13.652136+00:00,2026-07-17T05:27:06.585916+00:00
regulation:gazette-notification-pension-fund-regulatory-and-development-authority-point-of-presence-amendment-regulations-2026,regulation,"Pension Fund Regulatory and Development Authority (Point Of Presence) (Amendment) Regulations, 2026",2026-03-27,https://www.pfrda.org.in/w/gazette-notification-pension-fund-regulatory-and-development-authority-point-of-presence-amendment-regulations-2026,2026-06-18T10:16:58.313703+00:00,2026-07-17T05:27:15.700156+00:00
regulation:gazette-notification-pension-fund-regulatory-and-development-authority-point-of-presence-amendment-regulations-2026?p_l_back_url=%2Fregulatory-framework%2Fregulations&p_l_back_url_title=Regulations,regulation,"Pension Fund Regulatory and Development Authority (Point Of Presence) (Amendment) Regulations, 2026",2026-03-27,https://www.pfrda.org.in/w/gazette-notification-pension-fund-regulatory-and-development-authority-point-of-presence-amendment-regulations-2026?p_l_back_url=%2Fregulatory-framework%2Fregulations&p_l_back_url_title=Regulations,2026-06-18T08:32:32.188303+00:00,2026-06-18T08:32:32.188303+00:00
circular:permitting-the-points-of-presence-for-engagement-of-other-persons-as-pension-agents-dated-20.03.2026,circular,Permitting the Points of Presence for Engagement of Other Persons as Pension Agents dated 20.03.2026,2026-03-20,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/permitting-the-points-of-presence-for-engagement-of-other-persons-as-pension-agents-dated-20.03.2026,2026-07-08T04:54:13.653344+00:00,2026-07-17T05:27:00.503260+00:00
circular:charge-structure-of-point-of-presence-pop-for-common-schemes-under-nps-for-legal-entities-other-than-government-copy-,circular,Reclassification of existing Corporates under NPS into Government Entities and Legal Entities (other than Government),2026-03-10,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/charge-structure-of-point-of-presence-pop-for-common-schemes-under-nps-for-legal-entities-other-than-government-copy-,2026-07-08T04:54:13.657311+00:00,2026-07-17T05:27:00.506657+00:00
circular:charge-structure-of-point-of-presence-pop-for-common-schemes-under-nps-for-legal-entities-other-than-government-,circular,Charge structure of Point of Presence (PoP) for Common Schemes under NPS (All Citizen) including NPS Vatsalya and NPS Lite,2026-03-10,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/charge-structure-of-point-of-presence-pop-for-common-schemes-under-nps-for-legal-entities-other-than-government-,2026-07-08T04:54:13.655686+00:00,2026-07-17T05:27:00.505643+00:00
circular:registration-of-all-grievances-received-under-the-nps-architecture-raised-at-the-level-of-points-of-presence-pop-in-the-respective-cra-centralized-grievance-management-system-cgms-portals-copy-,circular,Charge structure of Point of Presence (PoP) for Common Schemes under NPS for Legal Entities (other than Government),2026-03-10,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/registration-of-all-grievances-received-under-the-nps-architecture-raised-at-the-level-of-points-of-presence-pop-in-the-respective-cra-centralized-grievance-management-system-cgms-portals-copy-,2026-07-08T04:54:13.654499+00:00,2026-07-17T05:27:00.504548+00:00
circular:investment-management-fee-imf-and-annual-fee-for-pension-funds-w.e.f.-01-april-2026-for-a-period-of-five-years-,circular,Investment Management Fee (IMF) and Annual Fee for Pension Funds w.e.f. 01 April 2026 (for a period of five years),2026-03-06,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/investment-management-fee-imf-and-annual-fee-for-pension-funds-w.e.f.-01-april-2026-for-a-period-of-five-years-,2026-07-08T04:54:13.658762+00:00,2026-07-17T05:27:00.507652+00:00
circular:notification-of-effective-date-of-nps-vatsalya-scheme-guidelines-2025,circular,Notification of effective date of NPS Vatsalya Scheme Guidelines 2025,2026-02-27,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/notification-of-effective-date-of-nps-vatsalya-scheme-guidelines-2025,2026-07-08T04:54:13.660056+00:00,2026-07-17T05:27:00.508630+00:00
circular:sharing-of-subscriber-information-with-pension-funds-under-nps-vatsalya-scheme-asset-allocation-flexibility,circular,Sharing of Subscriber Information with Pension Funds under NPS Vatsalya Scheme & Asset Allocation Flexibility,2026-02-23,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/sharing-of-subscriber-information-with-pension-funds-under-nps-vatsalya-scheme-asset-allocation-flexibility,2026-07-08T04:54:13.661585+00:00,2026-07-17T05:27:00.509605+00:00
circular:nps-assets-under-multiple-scheme-framework-msf-nearing-150-cr,circular,NPS Assets under Multiple Scheme Framework (MSF) nearing 150 cr,2026-02-05,https://www.pfrda.org.in/w/nps-assets-under-multiple-scheme-framework-msf-nearing-150-cr,2026-06-18T08:29:01.555045+00:00,2026-07-07T06:29:32.055146+00:00
circular:registration-of-all-grievances-received-under-the-nps-architecture-raised-at-the-level-of-points-of-presence-pop-in-the-respective-cra-centralized-grievance-management-system-cgms-portals,circular,Registration of all grievances received under the NPS Architecture raised at the level of Points of Presence (POP) in the respective CRA Centralized Grievance Management System (CGMS) portals,2026-02-02,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/registration-of-all-grievances-received-under-the-nps-architecture-raised-at-the-level-of-points-of-presence-pop-in-the-respective-cra-centralized-grievance-management-system-cgms-portals,2026-07-08T04:54:13.664264+00:00,2026-07-17T05:27:00.511015+00:00
regulation:pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-regulations-2015-last-amended-on-16-december-2025-,regulation,"Pension Fund Regulatory and Development Authority (Exits and Withdrawals under the National Pension System) Regulations, 2015 [Last amended on 16 December 2025]",2026-02-02,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-regulations-2015-last-amended-on-16-december-2025-,2026-06-18T10:16:58.314659+00:00,2026-07-17T05:27:15.701121+00:00
regulation:pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-regulations-2015-last-amended-on-16-december-2025-?p_l_back_url=%2Fregulatory-framework%2Fregulations&p_l_back_url_title=Regulations,regulation,"Pension Fund Regulatory and Development Authority (Exits and Withdrawals under the National Pension System) Regulations, 2015 [Last amended on 16 December 2025]",2026-02-02,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-regulations-2015-last-amended-on-16-december-2025-?p_l_back_url=%2Fregulatory-framework%2Fregulations&p_l_back_url_title=Regulations,2026-06-18T08:32:32.189642+00:00,2026-06-18T08:32:32.189642+00:00
notification:reconstitution-of-pension-advisory-committee-pac-1,notification,Reconstitution of Pension Advisory Committee (PAC),2026-01-30,https://www.pfrda.org.in/w/regulatory-framework/notifications/reconstitution-of-pension-advisory-committee-pac-1,2026-06-18T10:16:46.807290+00:00,2026-07-17T05:27:12.300250+00:00
notification:reconstitution-of-pension-advisory-committee-pac-1?p_l_back_url=%2Fregulatory-framework%2Fnotifications&p_l_back_url_title=Notifications,notification,Reconstitution of Pension Advisory Committee (PAC),2026-01-30,https://www.pfrda.org.in/w/regulatory-framework/notifications/reconstitution-of-pension-advisory-committee-pac-1?p_l_back_url=%2Fregulatory-framework%2Fnotifications&p_l_back_url_title=Notifications,2026-06-18T08:32:20.980079+00:00,2026-06-18T08:32:20.980079+00:00
circular:introduction-of-nps-swasthya-pension-scheme-as-a-proof-of-concept,circular,Introduction of ‘NPS Swasthya Pension Scheme’ as a Proof of Concept under the Regulatory Sandbox Framework,2026-01-27,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/introduction-of-nps-swasthya-pension-scheme-as-a-proof-of-concept,2026-07-08T04:54:13.665435+00:00,2026-07-17T05:27:00.511983+00:00
circular:cabinet-approves-continuation-of-atal-pension-yojana-apy-and-extension-of-funding-support-for-promotional-and-developmental-activities-and-gap-funding-till-2030-31-copy-,circular,PFRDA constitutes Committee for Strategic Asset Allocation and Risk Governance (SAARG),2026-01-25,https://www.pfrda.org.in/w/cabinet-approves-continuation-of-atal-pension-yojana-apy-and-extension-of-funding-support-for-promotional-and-developmental-activities-and-gap-funding-till-2030-31-copy-,2026-06-18T08:29:01.556209+00:00,2026-06-21T12:00:23.482188+00:00
circular:reinvestment-of-returned-unsuccessful-transaction-amount-into-the-same-pran-b.-ease-of-reclaiming-the-amount-by-subscriber-through-mwm-copy-,circular,Expanded guidelines on reinvestment of returned & pending transaction amounts into the respective PRANs,2026-01-23,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/reinvestment-of-returned-unsuccessful-transaction-amount-into-the-same-pran-b.-ease-of-reclaiming-the-amount-by-subscriber-through-mwm-copy-,2026-07-08T04:54:13.666573+00:00,2026-07-17T05:27:00.513179+00:00
circular:reporting-requirement-under-information-and-cyber-security-policy-guidelines-issued-by-pfrda,circular,Reporting requirement under Information and Cyber Security Policy Guidelines issued by PFRDA,2026-01-15,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/reporting-requirement-under-information-and-cyber-security-policy-guidelines-issued-by-pfrda,2026-07-08T04:54:13.668176+00:00,2026-07-17T05:27:00.514216+00:00
circular:sharing-of-subscriber-information-under-multiple-scheme-framework-msf-with-pension-funds,circular,Sharing of Subscriber Information under Multiple Scheme Framework (MSF) with Pension Funds,2026-01-12,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/sharing-of-subscriber-information-under-multiple-scheme-framework-msf-with-pension-funds,2026-07-08T04:54:13.669378+00:00,2026-07-17T05:27:00.515198+00:00
notification:reconstitution-of-pension-advisory-committee-pac-,notification,Reconstitution of Pension Advisory Committee (PAC),2026-01-08,https://www.pfrda.org.in/w/regulatory-framework/notifications/reconstitution-of-pension-advisory-committee-pac-,2026-06-18T10:16:46.808520+00:00,2026-07-17T05:27:12.301254+00:00
notification:reconstitution-of-pension-advisory-committee-pac-?p_l_back_url=%2Fregulatory-framework%2Fnotifications&p_l_back_url_title=Notifications,notification,Reconstitution of Pension Advisory Committee (PAC),2026-01-08,https://www.pfrda.org.in/w/regulatory-framework/notifications/reconstitution-of-pension-advisory-committee-pac-?p_l_back_url=%2Fregulatory-framework%2Fnotifications&p_l_back_url_title=Notifications,2026-06-18T08:32:20.981564+00:00,2026-06-18T08:32:20.981564+00:00
