id,doc_type,title,date,url,first_seen,last_seen
circular:processing-death-claims-where-nomination-is-changed-post-death-of-subscribers,circular,Processing Death Claims where Nomination is changed post death of Subscribers,2022-10-20,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/processing-death-claims-where-nomination-is-changed-post-death-of-subscribers,2026-07-08T04:54:14.743461+00:00,2026-07-17T05:27:01.638056+00:00
circular:building-a-pensioned-society-enabled-through-digi-locker,circular,Building a Pensioned Society enabled through Digi Locker,2022-10-19,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/building-a-pensioned-society-enabled-through-digi-locker,2026-07-08T04:54:14.748436+00:00,2026-07-17T05:27:01.642170+00:00
circular:handling-nps-corpus-of-deceased-subscribers-meant-for-purchase-of-annuity,circular,Handling NPS corpus of deceased Subscribers meant for purchase of Annuity,2022-10-19,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/handling-nps-corpus-of-deceased-subscribers-meant-for-purchase-of-annuity,2026-07-08T04:54:14.747085+00:00,2026-07-17T05:27:01.641194+00:00
circular:nps-apy-functionalities-released-by-cras-during-quarter-i-fy-2022-23,circular,NPS/APY Functionalities released by CRAs during Quarter I (FY 2022-23),2022-10-12,https://www.pfrda.org.in/w/nps-apy-functionalities-released-by-cras-during-quarter-i-fy-2022-23,2026-07-08T04:54:20.103900+00:00,2026-07-17T05:27:06.619331+00:00
circular:apy-govt-co-contributions-in-case-of-apy-voluntary-closure-1,circular,APY Govt Co-contributions in case of APY voluntary-closure,2022-10-10,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/apy-govt-co-contributions-in-case-of-apy-voluntary-closure-1,2026-07-08T04:54:14.750069+00:00,2026-07-17T05:27:01.643144+00:00
circular:allowing-option-to-allocate-75-of-subscriber-s-contribution-in-asset-class-e-equity-in-tier-1-and-100-in-tier-ii-copy-,circular,Broad Guidelines on Empanelment of Brokers by Pension Funds,2022-10-07,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/allowing-option-to-allocate-75-of-subscriber-s-contribution-in-asset-class-e-equity-in-tier-1-and-100-in-tier-ii-copy-,2026-07-08T04:54:14.751727+00:00,2026-07-17T05:27:01.644117+00:00
circular:empowering-subscribers-to-access-and-port-their-data,circular,Empowering Subscribers to access and port their Data,2022-09-30,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/empowering-subscribers-to-access-and-port-their-data,2026-07-08T04:54:14.752999+00:00,2026-07-17T05:27:01.645114+00:00
notification:maharashtra-choice-of-pension-fund-investment-pattern,notification,Maharashtra-Choice of Pension Fund & Investment Pattern,2022-09-30,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/maharashtra-choice-of-pension-fund-investment-pattern,2026-06-18T10:16:47.516226+00:00,2026-07-17T05:27:12.309540+00:00
notification:maharashtra-choice-of-pension-fund-investment-pattern?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Maharashtra-Choice of Pension Fund & Investment Pattern,2022-09-30,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/maharashtra-choice-of-pension-fund-investment-pattern?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.655061+00:00,2026-06-18T08:32:21.655061+00:00
circular:enabling-the-govt-and-corporate-subscribers-to-continue-with-their-existing-scheme-choice-reg,circular,Enabling the Govt and corporate subscribers to continue with their existing scheme choice-reg,2022-09-29,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/enabling-the-govt-and-corporate-subscribers-to-continue-with-their-existing-scheme-choice-reg,2026-07-08T04:54:14.754256+00:00,2026-07-17T05:27:01.646354+00:00
circular:reduction-of-timelines-for-withdrawal-from-t-4-to-t-2-for-the-benefit-of-subscribers-reg,circular,Reduction of Timelines for Withdrawal from T+4 to T+2 for the benefit of Subscribers-reg,2022-09-19,https://www.pfrda.org.in/w/reduction-of-timelines-for-withdrawal-from-t-4-to-t-2-for-the-benefit-of-subscribers-reg,2026-07-08T04:54:20.105176+00:00,2026-07-17T05:27:06.620233+00:00
circular:clarification-pursuant-to-change-in-the-eligibility-criteria-for-joining-atal-pension-yojana-as-per-dfs-mof-notification-dated-10-08-2022,circular,"Clarification pursuant to change in the eligibility criteria for joining Atal Pension Yojana- as per DFS, MOF Notification dated 10.08.2022",2022-09-15,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/clarification-pursuant-to-change-in-the-eligibility-criteria-for-joining-atal-pension-yojana-as-per-dfs-mof-notification-dated-10-08-2022,2026-07-08T04:54:14.755498+00:00,2026-07-17T05:27:01.647426+00:00
circular:changes-in-process-flow-of-e-nomination-for-the-benefit-government-corporate-sector-subscribers,circular,Changes in process flow of e-Nomination for the benefit Government / Corporate Sector Subscribers,2022-08-25,https://www.pfrda.org.in/w/changes-in-process-flow-of-e-nomination-for-the-benefit-government-corporate-sector-subscribers,2026-07-08T04:54:20.106735+00:00,2026-07-17T05:27:06.621227+00:00
circular:trail-commission-to-pops-on-voluntary-contributions-through-d-remit-by-subscribers-associated-to-pops-under-all-citizen-model,circular,Trail commission to POPs on voluntary contributions through D-Remit by Subscribers associated to POPs under All Citizen Model,2022-08-22,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/trail-commission-to-pops-on-voluntary-contributions-through-d-remit-by-subscribers-associated-to-pops-under-all-citizen-model,2026-07-08T04:54:14.756842+00:00,2026-07-17T05:27:01.648330+00:00
circular:voluntary-contributions-under-d-remit-enabled-through-upi,circular,Voluntary Contributions under D Remit enabled through UPI,2022-08-11,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/voluntary-contributions-under-d-remit-enabled-through-upi,2026-07-08T04:54:14.758093+00:00,2026-07-17T05:27:01.649266+00:00
circular:contribution-to-tier-ii-account-of-nps-through-credit-card-urgent,circular,Instruction to stop Facility of Payment of Subscriptions/Contribution to Tier-II Account of NPS through Credit Card -Urgent,2022-08-03,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/instruction-to-stop-facility-of-payment-of-subscriptions/contribution-to-tier-ii-account-of-nps-through-credit-card-urgent,2026-07-08T04:54:20.108356+00:00,2026-07-17T05:27:06.622422+00:00
circular:e-investment-choice-for-government-sector-subscribers,circular,e-Investment Choice for Government sector subscribers,2022-08-01,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/e-investment-choice-for-government-sector-subscribers,2026-07-08T04:54:14.759611+00:00,2026-07-17T05:27:01.650242+00:00
circular:responsible-innovation-through-regulatory-sandbox,circular,Responsible Innovation through Regulatory Sandbox(RS),2022-07-28,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/responsible-innovation-through-regulatory-sandbox,2026-07-08T04:54:14.761187+00:00,2026-07-17T05:27:01.651162+00:00
circular:subscriber-centric-services-through-digilocker-reg,circular,Subscriber Centric Services through DigiLocker-reg,2022-07-27,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/subscriber-centric-services-through-digilocker-reg,2026-07-08T04:54:14.762452+00:00,2026-07-17T05:27:06.623403+00:00
circular:annual-awards-for-achievement-of-apy-enrolment-targets-for-fy-2022-23,circular,Annual Awards for achievement of APY enrolment targets for FY 2022-23,2022-06-28,https://www.pfrda.org.in/w/annual-awards-for-achievement-of-apy-enrolment-targets-for-fy-2022-23,2026-07-08T04:54:20.110797+00:00,2026-07-17T05:27:06.624380+00:00
circular:allotment-of-enrolment-targets-under-atal-pension-yojana-apy-to-all-slbcs-utlbcs-for-fy-2023-24,circular,Allotment of Enrolment Targets under Atal Pension Yojana (APY) to all SLBCs/UTLBCs for FY 2023-24,2022-06-21,https://www.pfrda.org.in/w/allotment-of-enrolment-targets-under-atal-pension-yojana-apy-to-all-slbcs-utlbcs-for-fy-2023-24,2026-07-08T04:54:20.114671+00:00,2026-07-17T05:27:06.625329+00:00
circular:cyber-jaagrookta-diwas-cjd,circular,Cyber Jaagrookta Diwas (CJD),2022-06-15,https://www.pfrda.org.in/w/cyber-jaagrookta-diwas-cjd,2026-07-08T04:54:20.116049+00:00,2026-07-17T05:27:06.626226+00:00
circular:cyber-security-directions-and-faqs-issued-by-cert-in,circular,Cyber Security Directions and FAQs issued by CERT-In,2022-06-15,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/cyber-security-directions-and-faqs-issued-by-cert-in,2026-07-08T04:54:14.763703+00:00,2026-07-17T05:27:01.653358+00:00
circular:nps-apy-functionalities-released-by-cras-during-quarter-iv-fy-2021-22,circular,NPS/APY Functionalities released by CRAs during Quarter IV (FY 2021-22),2022-06-09,https://www.pfrda.org.in/w/nps-apy-functionalities-released-by-cras-during-quarter-iv-fy-2021-22,2026-07-08T04:54:20.117203+00:00,2026-07-17T05:27:06.627466+00:00
notification:arunachal-pradesh-nps-contribution-enhancement-10-to-14-,notification,Arunachal Pradesh-NPS contribution enhancement 10% to 14%,2022-05-28,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/arunachal-pradesh-nps-contribution-enhancement-10-to-14-,2026-06-18T10:16:47.517757+00:00,2026-07-17T05:27:12.310522+00:00
notification:arunachal-pradesh-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Arunachal Pradesh-NPS contribution enhancement 10% to 14%,2022-05-28,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/arunachal-pradesh-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.657267+00:00,2026-06-18T08:32:21.657267+00:00
circular:allotment-of-enrolment-targets-under-atal-pension-yojana-apy-to-banks-and-department-of-posts-for-fy-2022-23-reg,circular,Allotment of Enrolment Targets under Atal Pension Yojana (APY) to Banks and Department of Posts for FY 2022-23-reg,2022-05-26,https://www.pfrda.org.in/w/allotment-of-enrolment-targets-under-atal-pension-yojana-apy-to-banks-and-department-of-posts-for-fy-2022-23-reg,2026-07-08T04:54:20.118612+00:00,2026-07-17T05:27:06.628464+00:00
circular:revised-incentive-for-registration-of-subscribers-and-yearly-persistency-under-apy,circular,Revised incentive for registration of subscribers and yearly persistency under APY,2022-05-26,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/revised-incentive-for-registration-of-subscribers-and-yearly-persistency-under-apy,2026-07-08T04:54:14.764996+00:00,2026-07-17T05:27:01.654333+00:00
regulation:pension-fund-regulatory-and-development-authority-redressal-of-subscriber-grievance-amendment-regulations-2022,regulation,"Pension Fund Regulatory and Development Authority (Redressal of Subscriber Grievance) (Amendment) Regulations, 2022",2022-05-25,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-redressal-of-subscriber-grievance-amendment-regulations-2022,2026-06-18T10:16:59.682265+00:00,2026-07-17T05:27:15.720836+00:00
regulation:pension-fund-regulatory-and-development-authority-redressal-of-subscriber-grievance-amendment-regulations-2022?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,regulation,"Pension Fund Regulatory and Development Authority (Redressal of Subscriber Grievance) (Amendment) Regulations, 2022",2022-05-25,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-redressal-of-subscriber-grievance-amendment-regulations-2022?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,2026-06-18T08:32:33.419892+00:00,2026-06-18T08:32:33.419892+00:00
notification:reconstitution-of-pension-advisory-committtee-pac-,notification,Reconstitution of Pension Advisory Committtee(PAC),2022-05-19,https://www.pfrda.org.in/w/regulatory-framework/notifications/pfrda/reconstitution-of-pension-advisory-committtee-pac-,2026-06-18T10:16:47.518675+00:00,2026-07-17T05:27:12.311497+00:00
notification:reconstitution-of-pension-advisory-committtee-pac-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Reconstitution of Pension Advisory Committtee(PAC),2022-05-19,https://www.pfrda.org.in/w/regulatory-framework/notifications/pfrda/reconstitution-of-pension-advisory-committtee-pac-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.658492+00:00,2026-06-18T08:32:21.658492+00:00
circular:risk-profiling-of-schemes-managed-by-pension-funds-under-nps,circular,Risk Profiling of Schemes managed by Pension Funds under NPS,2022-05-12,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/risk-profiling-of-schemes-managed-by-pension-funds-under-nps,2026-07-08T04:54:14.766365+00:00,2026-07-17T05:27:01.655614+00:00
circular:18-11-2022-change-in-investment-guidelines-2021-for-nps-schemes-other-than-govt.-sector-cg-sg-corporate-cg-nps-lite-and-apy-,circular,"Change in Investment Guidelines-2021 for NPS Schemes {Other than Govt. Sector (CG & SG), Corporate CG, NPS Lite and APY}",2022-04-28,https://www.pfrda.org.in/w/18-11-2022-change-in-investment-guidelines-2021-for-nps-schemes-other-than-govt.-sector-cg-sg-corporate-cg-nps-lite-and-apy-,2026-07-08T04:54:20.120382+00:00,2026-07-17T05:27:06.629379+00:00
circular:eapy-ease-of-onboarding-through-aadhaar,circular,eAPY - Ease of onboarding through Aadhaar,2022-04-21,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/eapy-ease-of-onboarding-through-aadhaar,2026-07-08T04:54:14.769833+00:00,2026-07-17T05:27:01.656553+00:00
notification:tripura-central-civil-services-implementation-of-national-pension-system-rules-2021-adaptation-order-2022,notification,"Tripura-Central Civil Services (Implementation of National Pension System) Rules, 2021 Adaptation Order, 2022",2022-04-16,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/tripura-central-civil-services-implementation-of-national-pension-system-rules-2021-adaptation-order-2022,2026-06-18T10:16:47.519824+00:00,2026-07-17T05:27:12.312476+00:00
notification:tripura-central-civil-services-implementation-of-national-pension-system-rules-2021-adaptation-order-2022?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,"Tripura-Central Civil Services (Implementation of National Pension System) Rules, 2021 Adaptation Order, 2022",2022-04-16,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/tripura-central-civil-services-implementation-of-national-pension-system-rules-2021-adaptation-order-2022?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.659558+00:00,2026-06-18T08:32:21.659558+00:00
regulation:pfrda-employee-service-amendment-regulations-2022,regulation,"PFRDA (Employee Service) (Amendment) Regulations, 2022",2022-04-13,https://www.pfrda.org.in/w/regulatory-framework/regulations/regulatory-framework/regulations/pfrda-employee-service-amendment-regulations-2022,2026-06-18T10:16:59.683270+00:00,2026-07-17T05:27:15.721813+00:00
regulation:pfrda-employee-service-amendment-regulations-2022?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,regulation,"PFRDA (Employee Service) (Amendment) Regulations, 2022",2022-04-13,https://www.pfrda.org.in/w/regulatory-framework/regulations/regulatory-framework/regulations/pfrda-employee-service-amendment-regulations-2022?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,2026-06-18T08:32:33.421105+00:00,2026-06-18T08:32:33.421105+00:00
circular:nps-apy-functionalities-released-by-cras-during-quarter-iii-fy-2021-22,circular,NPS/APY Functionalities released by CRAs during Quarter III (FY 2021-22),2022-03-31,https://www.pfrda.org.in/w/nps-apy-functionalities-released-by-cras-during-quarter-iii-fy-2021-22,2026-07-08T04:54:20.121652+00:00,2026-07-17T05:27:06.630556+00:00
circular:segregation-of-active-and-passive-deviations-or-breaches,circular,Segregation of active and passive deviations or breaches,2022-02-04,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/segregation-of-active-and-passive-deviations-or-breaches,2026-07-08T04:54:14.771374+00:00,2026-07-17T05:27:01.657540+00:00
notification:chhattisgarh-nps-contribution-enhancement-10-to-14-,notification,Chhattisgarh-NPS contribution enhancement 10% to 14%,2022-02-03,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/chhattisgarh-nps-contribution-enhancement-10-to-14-,2026-06-18T10:16:47.520874+00:00,2026-07-17T05:27:12.313657+00:00
notification:chhattisgarh-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Chhattisgarh-NPS contribution enhancement 10% to 14%,2022-02-03,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/chhattisgarh-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.660812+00:00,2026-06-18T08:32:21.660812+00:00
circular:relaxation-of-timelines-for-activities-under-national-pension-system-nps-nps-lite-swavalamban-scheme-in-view-of-covid-19-pandemic,circular,Revision of Service Charges for POPs under NPS (All Citizen and Corporate),2022-01-31,https://www.pfrda.org.in/w/relaxation-of-timelines-for-activities-under-national-pension-system-nps-nps-lite-swavalamban-scheme-in-view-of-covid-19-pandemic,2026-07-08T04:54:20.123136+00:00,2026-07-17T05:27:06.631528+00:00
circular:change-of-pension-fund-and-asset-allocation-by-nps-subscribers,circular,Change of Pension Fund and Asset Allocation by NPS Subscribers,2022-01-27,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/change-of-pension-fund-and-asset-allocation-by-nps-subscribers,2026-07-08T04:54:14.773170+00:00,2026-07-17T05:27:02.782203+00:00
notification:haryana-nps-contribution-enhancement-10-to-14-,notification,Haryana-NPS contribution enhancement 10% to 14%,2022-01-27,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/haryana-nps-contribution-enhancement-10-to-14-,2026-06-18T10:16:47.521982+00:00,2026-07-17T05:27:12.314637+00:00
notification:haryana-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Haryana-NPS contribution enhancement 10% to 14%,2022-01-27,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/haryana-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.662239+00:00,2026-06-18T08:32:21.662239+00:00
regulation:pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-second-amendment-regulations-2021,regulation,"PENSION FUND REGULATORY AND DEVELOPMENT AUTHORITY (EXITS AND WITHDRAWALS UNDER THE NATIONAL PENSION SYSTEM) (SECOND AMENDMENT) REGULATIONS, 2021",2021-12-28,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-second-amendment-regulations-2021,2026-06-18T10:16:59.684183+00:00,2026-07-17T05:27:15.722713+00:00
regulation:pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-second-amendment-regulations-2021?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,regulation,"PENSION FUND REGULATORY AND DEVELOPMENT AUTHORITY (EXITS AND WITHDRAWALS UNDER THE NATIONAL PENSION SYSTEM) (SECOND AMENDMENT) REGULATIONS, 2021",2021-12-28,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-exits-and-withdrawals-under-the-national-pension-system-second-amendment-regulations-2021?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,2026-06-18T08:32:33.422473+00:00,2026-06-18T08:32:33.422473+00:00
circular:nps-apy-functionalities-released-by-cras-during-quarter-ii-fy-2021-22,circular,NPS/APY Functionalities released by CRAs during Quarter II (FY 2021-22),2021-12-22,https://www.pfrda.org.in/w/nps-apy-functionalities-released-by-cras-during-quarter-ii-fy-2021-22,2026-07-08T04:54:20.124872+00:00,2026-07-17T05:27:06.632465+00:00
circular:change-structure-for-pop-under-nps,circular,Condition of negotiation related to Fee/Change structure for POP under NPS,2021-12-13,https://www.pfrda.org.in/w/condition-of-negotiation-related-to-fee/change-structure-for-pop-under-nps,2026-07-08T04:54:20.126129+00:00,2026-07-17T05:27:06.633391+00:00
notification:karnataka-choice-of-pension-fund-investment-pattern,notification,Karnataka-Choice of Pension Fund & Investment Pattern,2021-12-06,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/karnataka-choice-of-pension-fund-investment-pattern,2026-06-18T10:16:47.522904+00:00,2026-07-17T05:27:12.315646+00:00
notification:karnataka-choice-of-pension-fund-investment-pattern?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Karnataka-Choice of Pension Fund & Investment Pattern,2021-12-06,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/karnataka-choice-of-pension-fund-investment-pattern?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.663771+00:00,2026-06-18T08:32:21.663771+00:00
circular:change-in-investment-guidelines-2021-for-nps-schemes-other-than-govt.-sector-cg-sg-corporate-cg-nps-lite-and-apy-1,circular,"Change in Investment Guidelines 2021 for NPS Schemes (Other than Govt. Sector (CG & SG), Corporate CG, NPS Lite and APY)",2021-12-02,https://www.pfrda.org.in/w/change-in-investment-guidelines-2021-for-nps-schemes-other-than-govt.-sector-cg-sg-corporate-cg-nps-lite-and-apy-1,2026-07-08T04:54:20.128821+00:00,2026-07-17T05:27:06.635408+00:00
circular:permission-for-keeping-of-securities-as-margin-with-the-ccil-for-margin-requirements-copy-12-,circular,"Change in Investment Guidelines-2021 for NPS Schemes {Other than Govt. Sector (CG & SG), Corporate CG, NPS Lite and APY}",2021-12-02,https://www.pfrda.org.in/w/permission-for-keeping-of-securities-as-margin-with-the-ccil-for-margin-requirements-copy-12-,2026-07-08T04:54:20.127451+00:00,2026-07-17T05:27:06.634382+00:00
circular:30-11-2021-change-in-operational-guidelines-for-national-pension-scheme-tier%C2%A0ii-tax-saver-scheme-2020,circular,"30-11-2021-Change in Operational Guidelines for National Pension Scheme Tier II- Tax Saver Scheme, 2020",2021-11-30,https://www.pfrda.org.in/w/30-11-2021-change-in-operational-guidelines-for-national-pension-scheme-tier%C2%A0ii-tax-saver-scheme-2020,2026-07-08T04:54:20.132352+00:00,2026-07-17T05:27:06.637620+00:00
circular:change-in-investment-guidelines-2021-for-nps-schemes-applicable-to-scheme-cg-scheme-sg-corporate-cg-and-nps-lite-schemes-of-nps-and-atal-pension-yojana-30-11-2021,circular,"Change in Investment Guidelines-2021 for NPS Schemes (Applicable to Scheme CG, Scheme SG, Corporate CG and NPS Lite Schemes of NPS and Atal Pension Yojana) - 30-11-2021",2021-11-30,https://www.pfrda.org.in/w/change-in-investment-guidelines-2021-for-nps-schemes-applicable-to-scheme-cg-scheme-sg-corporate-cg-and-nps-lite-schemes-of-nps-and-atal-pension-yojana-30-11-2021,2026-07-08T04:54:20.130550+00:00,2026-07-17T05:27:06.636382+00:00
circular:facility-of-online-apy-subscription-through-aadhaar-e-kyc-1,circular,Facility of Online APY Subscription through Aadhaar e KYC,2021-10-27,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/facility-of-online-apy-subscription-through-aadhaar-e-kyc-1,2026-07-08T04:54:20.133726+00:00,2026-07-17T05:27:06.638613+00:00
circular:launch-of-e-apy-platform-for-apy-sps,circular,Launch of e-APY platform for APY-SPs,2021-10-18,https://www.pfrda.org.in/w/launch-of-e-apy-platform-for-apy-sps,2026-07-08T04:54:20.135094+00:00,2026-07-17T05:27:06.639606+00:00
notification:odisha-nps-contribution-enhancement-10-to-14-,notification,Odisha-NPS contribution enhancement 10% to 14%,2021-10-11,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/odisha-nps-contribution-enhancement-10-to-14-,2026-06-18T10:16:47.524154+00:00,2026-07-17T05:27:12.316584+00:00
notification:odisha-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,notification,Odisha-NPS contribution enhancement 10% to 14%,2021-10-11,https://www.pfrda.org.in/w/regulatory-framework/notifications/state-notification/odisha-nps-contribution-enhancement-10-to-14-?p_l_back_url=%2Fregulatory-framework%2Fnotifications%3Fstart%3D2&p_l_back_url_title=Notifications,2026-06-18T08:32:21.664957+00:00,2026-06-18T08:32:21.664957+00:00
circular:online-exit-process-for-nps-subscribers-under-government-sector,circular,Online exit process for NPS subscribers under Government Sector,2021-10-04,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/online-exit-process-for-nps-subscribers-under-government-sector,2026-07-08T04:54:14.774566+00:00,2026-07-17T05:27:02.783838+00:00
regulation:pension-fund-regulatory-and-development-authority-custodian-of-securities-amendment-regulations-2021,regulation,"PENSION FUND REGULATORY AND DEVELOPMENT AUTHORITY (CUSTODIAN OF SECURITIES) (AMENDMENT) REGULATIONS, 2021",2021-09-22,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-custodian-of-securities-amendment-regulations-2021,2026-06-18T10:16:59.685089+00:00,2026-07-17T05:27:15.723588+00:00
regulation:pension-fund-regulatory-and-development-authority-custodian-of-securities-amendment-regulations-2021?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,regulation,"PENSION FUND REGULATORY AND DEVELOPMENT AUTHORITY (CUSTODIAN OF SECURITIES) (AMENDMENT) REGULATIONS, 2021",2021-09-22,https://www.pfrda.org.in/w/regulatory-framework/regulations/pension-fund-regulatory-and-development-authority-custodian-of-securities-amendment-regulations-2021?p_l_back_url=%2Fregulatory-framework%2Fregulations%3Fstart%3D3&p_l_back_url_title=Regulations,2026-06-18T08:32:33.423847+00:00,2026-06-18T08:32:33.423847+00:00
circular:enhancement-of-lump-sum-withdrawal-limit-on-exit,circular,Enhancement of Lump sum Withdrawal limit on Exit,2021-09-21,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/enhancement-of-lump-sum-withdrawal-limit-on-exit,2026-07-08T04:54:14.775902+00:00,2026-07-17T05:27:02.784963+00:00
circular:change-in-periodic-frequency-for-payment-of-investment-management-fee-to-pension-funds,circular,Change in periodic frequency for payment of Investment Management Fee to Pension Funds,2021-09-17,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/change-in-periodic-frequency-for-payment-of-investment-management-fee-to-pension-funds,2026-07-08T04:54:16.077021+00:00,2026-07-17T05:27:02.786233+00:00
circular:profile-of-central-record-keeping-agencies-cra-and-the-benefits-features-offered-by-them,circular,Profile of Central Record keeping Agencies (CRA) & the benefits/features offered by them,2021-09-16,https://www.pfrda.org.in/w/regulatory-framework/circulars/active-circulars/profile-of-central-record-keeping-agencies-cra-and-the-benefits-features-offered-by-them,2026-07-08T04:54:20.137923+00:00,2026-07-17T05:27:06.641524+00:00
circular:or-ofs-issued-vide-circular-dated-27.07.2021,circular,Clarification on Guidelines for investment by Pension Funds in IPO/FPO and/or OFS issued vide Circular dated 27.07.2021,2021-09-16,https://www.pfrda.org.in/w/clarification-on-guidelines-for-investment-by-pension-funds-in-ipo/fpo-and/or-ofs-issued-vide-circular-dated-27.07.2021,2026-07-08T04:54:20.136247+00:00,2026-07-17T05:27:06.640570+00:00
